weight,description
0,gene_inference-W_LEFT_3_[_NUMBER that the]
0,gene_inference-W_RIGHT_2_[and t1r2]
0,"gene_inference-W_LEFT_2_[, Richmond]"
0,gene_inference-W_NER_L_1_R_1_[MISC]_[NUMBER]
0,gene_inference-W_NER_L_3_R_3_[O O MISC]_[O O O]
0,gene_inference-W_LEMMA_L_3_R_2_[tissue-speciﬁc expression of]_[and lifreceptor]
0,gene_inference-W_LEMMA_L_2_R_2_[’ .]_[encode a]
0,gene_inference-W_LEMMA_L_2_R_1_[to block]_[-]
0,gene_inference-W_LEMMA_L_3_R_1_[to a or]_[)]
0,"gene_inference-W_LEMMA_L_3_R_1_[AE , Horvitz]_[,]"
0,gene_inference-W_LEMMA_L_2_R_1_[interaction between]_[or]
0,gene_inference-W_RIGHT_3_[( no posttranslational]
0,gene_inference-W_LEMMA_L_1_R_3_[a]_[reference ( each]
0,"gene_inference-W_LEMMA_L_2_R_1_[, use]_[and]"
0,gene_inference-W_LEMMA_L_2_R_1_[p43285 (]_[|]
0,gene_inference-W_LEMMA_L_3_R_2_[vary extensively in]_[content (]
0,"gene_inference-W_LEMMA_L_3_R_2_[, ribosomal protein]_[, and]"
0,gene_inference-W_LEMMA_L_1_R_2_[RESEARCH]_[be submit]
0,"gene_inference-W_LEMMA_L_2_R_3_["" ype]_[ceratopteri ricnardius a]"
0,gene_inference-W_LEFT_2_[t1r3 or]
0,gene_inference-W_LEMMA_L_2_R_2_[or strong]_[— ray]
0,"gene_inference-W_LEMMA_L_3_R_2_[) , and]_[pathway ,]"
0,gene_inference-W_NER_L_3_R_3_[NUMBER O NUMBER]_[NUMBER O O]
0,gene_inference-W_RIGHT_2_[mtdna a3]
0,"gene_inference-W_LEMMA_L_2_R_2_[, Shatzer]_[, Sewell]"
0,"gene_inference-W_LEMMA_L_3_R_1_[, the histone]_[gene]"
0,gene_inference-W_LEMMA_L_3_R_2_[Ltd ( Print]_[i465-6906 ;]
0,"gene_inference-W_LEMMA_L_1_R_3_[,]_[and m -]"
0,gene_inference-W_LEFT_3_[and t1r3 or]
0,gene_inference-W_LEMMA_L_1_R_2_[mpn188]_[s13 mkvrasvk]
0,gene_inference-W_LEMMA_L_2_R_2_[interaction between]_[or mex67p]
0,gene_inference-W_LEFT_3_[exact test ;]
0,gene_inference-W_LEMMA_L_1_R_1_[paternal]_[chromosome]
0,gene_inference-W_NER_L_1_R_2_[ORGANIZATION]_[ORGANIZATION ORGANIZATION]
0,gene_inference-W_LEMMA_L_3_R_3_[_NUMBER ] .]_[may also have]
0,"gene_inference-W_LEMMA_L_3_R_2_[such as []_[, il8]"
0,"gene_inference-W_RIGHT_2_[, schleiffer]"
0,gene_inference-W_LEMMA_L_2_R_2_[AAC79629 genomic]_[| p2]
0,gene_inference-W_LEMMA_L_1_R_1_[o]_[j]
0,gene_inference-W_LEMMA_L_1_R_2_[Hu]_[: the]
0,"gene_inference-W_LEMMA_L_3_R_2_[ae I ,738,505]_[[ _NUMBER]"
0,gene_inference-W_LEFT_3_[no % i]
0,gene_inference-W_RIGHT_2_[) -]
0,"gene_inference-W_LEMMA_L_2_R_1_[, Banga]_[,]"
0,gene_inference-W_LEMMA_L_1_R_2_[|]_[fkvrt svk]
0,gene_inference-W_RIGHT_3_[) - Christopher]
0,gene_inference-W_RIGHT_2_[frequently ask]
0,gene_inference-W_LEFT_3_[l36 original o.o]
0,"gene_inference-W_LEMMA_L_3_R_2_[factor Coch and]_[, as]"
0,"gene_inference-W_LEMMA_L_3_R_2_[this reason ,]_[, like]"
