probability_lo,probability_hi,probability,accuracy,num_predictions_test,num_predictions_whole,num_correct,num_incorrect
0,0.1,0.05,0.00334448160535117,598,4362,2,596
0.1,0.2,0.15,0.0576923076923077,156,11150,9,147
0.2,0.3,0.25,0.166666666666667,48,6381,8,40
0.3,0.4,0.35,0.349206349206349,63,8994,22,41
0.4,0.5,0.45,0.186046511627907,43,12043,8,35
0.5,0.6,0.55,0.5,40,6731,20,20
0.6,0.7,0.65,0.368421052631579,38,5251,14,24
0.7,0.8,0.75,0.555555555555556,36,9939,20,16
0.8,0.9,0.85,0.4,20,1900,8,12
0.9,1,0.95,0.988789237668161,446,4253,441,5
