weight_ge,weight_lt,weight,num_features
-3.670344,-3.262528,-3.34716,1
-3.262528,-2.854712,-2.96812,1
-2.854712,-2.446896,-2.73222666666667,3
-2.446896,-2.03908,-2.17116,15
-2.03908,-1.631264,-1.78617052631579,19
-1.631264,-1.223448,-1.40639732142857,56
-1.223448,-0.815632,-1.00233223239437,142
-0.815632,-0.407816,-0.568030746938776,490
-0.407816,0,-0.142764213927054,2809
0,,0,11536
5.25405e-07,0.407816,0.202963766071035,932
0.407816,0.815632,0.575217359315589,526
0.815632,1.223448,1.00030384120172,233
1.223448,1.631264,1.372618,110
1.631264,2.03908,1.83513891891892,37
2.03908,2.446896,2.1673625,12
2.446896,2.854712,2.66328875,8
2.854712,3.262528,2.958925,2
3.670344,4.07816,4.04409,1
4.485976,4.893792,4.80916,1
