num_candidates,feature
26623588,IS_OTHER_NER_[PERSON]
20428353,LOCATION_SEQ
11270387,IS_LOCATION_1
7828202,AREA_INDICATOR
7077307,IS_OTHER_NER_[ORGANIZATION]
5401977,MIN_KEYWORD_[name]
5141205,FOLLOWED_BY_PHONE
4646752,PREV_2_GRAM_[name_be]
4414175,PREV_3_GRAM_[my_name_be]
3940873,AREA_INDICATORin
3756066,VERB_[be]@
3708440,PREV_2_GRAM_[i_be]
2979142,MIN_KEYWORD_[escort]
2376704,MIN_KEYWORD_[service]
2371606,MIN_KEYWORD_[new]
2333260,IS_LOCATION_2
1902155,KEYWORD_WP_[name]@cop
1826367,MIN_KEYWORD_[come]
1824713,MIN_KEYWORD_[from]
1815780,MIN_KEYWORD_[here]
1667425,MIN_KEYWORD_WP_[name]@cop
1538847,MIN_KEYWORD_[available]
1503740,IS_OTHER_NER_[MISC]
1501621,MIN_KEYWORD_[location]
1262865,IS_OTHER_NER_[DATE]
1226113,MIN_KEYWORD_[gentleman]
1132150,MIN_KEYWORD_[day]
1095540,END_SENTENCE_LOCATION
1032499,KEYWORD_WP_[service]dep@dep
1032156,MIN_KEYWORD_[incall]
989938,MIN_KEYWORD_[area]
986542,MIN_KEYWORD_[outcall]
956868,AREA_INDICATORto
912667,MIN_KEYWORD_[city]
904865,NEXT_2_GRAM_[i_be]
892342,AREA_INDICATOR{ing}
861190,IS_GEOGRAPHIC_VARIANT
856071,NEXT_2_GRAM_[and_i]
837596,KEYWORD_WP_[escort]dep@dep
718643,"PREV_3_GRAM_[,_i_be]"
697740,MIN_KEYWORD_[gentlemen]
685868,AREA_INDICATORarea
678290,MIN_KEYWORD_[man]
637934,PREV_2_GRAM_[ask_for]
620145,"NEXT_2_GRAM_[,_i]"
614293,MIN_KEYWORD_[visit]
590679,NEXT_3_GRAM_[and_i_be]
564816,KEYWORD_WP_[name]nn@cop
558706,MIN_KEYWORD_WP_[name]nn@cop
550717,MIN_KEYWORD_[center]
541978,MIN_KEYWORD_WP_[escort]dep@dep
522395,VERB_[be]nsubj@det
520448,KEYWORD_WP_[new]dep@dep
479025,MIN_KEYWORD_[home]
475105,AREA_INDICATORat
470334,VERB_COP_1_[be]_[i]
463087,MIN_KEYWORD_[hotel]
447170,AREA_INDICATORcity
424713,"NEXT_3_GRAM_[,_i_be]"
406652,PREV_2_GRAM_[it_be]
381735,VERB_[be]nsubj@advmod
371616,VERB_[be]nsubj@
369985,MIN_KEYWORD_[provider]
369751,KEYWORD_WP_[from]dep@dep
361579,NEXT_2_GRAM_[be_a]
358336,MIN_KEYWORD_[drive]
357399,MIN_KEYWORD_[part]
353873,PREV_2_GRAM_[in_the]
346877,PREV_3_GRAM_[hus_i_be]
342789,"NEXT_2_GRAM_[,_and]"
340311,PREV_2_GRAM_[location_:]
335536,VERB_[call]dobj-|call@dobj-|call
330549,VERB_COP_1_[be]_[name]
327641,MIN_KEYWORD_[outcalls]
327367,MIN_KEYWORD_[base]
325327,KEYWORD_WP_[day]dep@dep
315261,MIN_KEYWORD_[travel]
307519,MIN_KEYWORD_WP_[service]dep@dep
307211,VERB_[call]dep@dep
300344,KEYWORD_WP_[base]dep@dep
297229,KEYWORD_WP_[home]dep@dep
297037,"NEXT_2_GRAM_[,_a]"
296764,KEYWORD_WP_[city]dep@dep
292328,PREV_2_GRAM_[girl_in]
291134,KEYWORD_WP_[new]nn@nn
286195,KEYWORD_WP_[area]dep@dep
285250,KEYWORD_WP_[escort]nn@nn
280363,MIN_KEYWORD_[street]
280340,PREV_2_GRAM_[service_in]
274509,MIN_KEYWORD_WP_[new]nn@nn
270697,NEXT_2_GRAM_[-lrb-_r]
270638,NEXT_3_GRAM_[-lrb-_r_-rrb-]
264086,PREV_2_GRAM_[escort_in]
262721,PREV_2_GRAM_[call_i]
261123,VERB_SIBL_NO_LABEL_[call]_[i]
245759,MIN_KEYWORD_WP_[escort]nn@nn
245723,MIN_KEYWORD_[blvd]
244147,MIN_KEYWORD_[serve]
237005,PREV_3_GRAM_[guy_i_be]
236516,AREA_INDICATORtown
