num_candidates,num_features
1,24340
2,3110
3,1213
4,620
5,414
6,265
7,213
8,147
9,110
10,81
11,75
12,68
13,59
14,43
15,44
16,34
17,23
18,31
19,19
20,20
21,23
22,23
23,12
24,16
25,15
26,19
27,8
28,9
29,7
30,7
31,11
32,14
33,6
34,6
35,8
36,8
37,8
38,11
39,9
40,8
41,14
42,10
43,7
44,5
45,6
46,8
47,9
48,9
49,5
50,8
51,5
52,6
53,3
54,5
56,4
57,2
58,1
59,3
60,2
61,3
62,4
63,2
64,4
65,4
66,1
67,3
68,2
69,2
70,5
71,5
73,7
74,5
75,4
76,7
77,1
78,3
80,2
81,2
82,2
83,2
84,2
85,2
86,1
87,2
89,3
90,1
91,1
95,1
98,3
99,1
100,3
102,1
104,1
106,3
110,1
112,1
116,1
120,1
122,1
124,2
126,2
127,2
129,1
131,2
132,1
134,2
135,2
137,1
138,2
139,3
140,3
142,1
143,2
144,1
145,1
147,1
150,2
152,1
153,1
154,1
156,1
158,1
161,1
163,1
169,1
171,1
177,1
179,2
180,2
185,1
187,1
195,1
196,1
198,1
199,1
200,1
206,1
209,2
211,1
212,1
216,1
217,1
219,1
225,1
227,1
230,1
231,1
236,1
242,1
247,1
264,1
268,1
281,1
282,1
286,1
292,2
298,1
300,1
302,1
304,1
322,2
325,2
326,1
336,1
353,1
360,1
374,1
401,1
414,2
415,1
417,2
418,1
429,1
461,1
462,2
485,1
502,1
565,1
609,1
637,1
649,1
817,1
964,1
1059,1
1096,1
1220,1
1373,1
1574,1
1699,1
1837,1
1894,1
3183,1
4721,1
